LS_Pred,Crash cause
1.765478531504199,2
2.227432266699013,0
2.290113742788607,2
2.4791066660014907,2
2.3589485571637754,2
2.0855411853979753,2
2.0274594752689743,0
1.7650680589776129,2
2.005014279126489,4
1.6828167704354247,4
1.7784607328285342,4
2.0034235023859956,4
1.9190188779615887,4
1.9858889452005695,2
2.6268968572924303,2
2.549795873341018,4
1.5995799537119582,4
2.0208157864746994,0
2.197376425107,4
2.1088055823025185,4
2.49867222076489,4
1.874038661560415,4
2.001543895101352,4
1.534087290610286,4
1.9682550045016063,1
1.719484827985213,4
2.1317474679489683,4
1.7045651115388172,2
2.146409588964644,4
2.368258800142533,4
1.754531421549521,2
2.55805032079283,2
2.1895698949419966,4
1.8968822220545742,4
2.0001939179807704,0
2.005014279126489,0
1.957989424677987,4
2.4096041347756145,2
1.8942339598487956,2
2.2071854787345013,4
2.005014279126489,4
1.5285289427988342,5
2.2569097622806926,2
2.5207301591124986,2
1.929536263319392,4
2.017462990115504,2
2.3756263946315546,4
1.624314848845341,0
1.7900084841805475,4
1.9734195962614145,1
2.3799638674224757,4
1.6176540144924472,0
1.558017352855317,4
1.8924447922373429,0
1.5019410677388452,4
1.6147682177303224,4
1.8438453051549546,4
1.785572947916287,2
1.936342951444993,4
2.162236856566215,0
1.8888026628421515,4
1.4745619561705818,2
1.93554715125367,2
2.067857970826081,4
1.4708735263038286,2
0.789736283939821,4
2.388344183527932,2
2.0569622049690137,4
2.0332929399620294,2
2.290127381370843,4
2.0555021299543177,4
1.8242343753691483,5
1.816323833294782,2
1.6338531406714392,2
1.7646402603593587,2
2.29855869235443,2
1.6690661005629712,2
1.9681632995195273,2
2.5491337323495187,2
1.6640429794145963,0
2.030550714333244,1
1.5945671163142991,2
1.8019069394510223,4
0.563720162713617,0
1.8325273426456943,2
1.237198849296743,4
1.7720811464935946,4
1.780785236620846,4
0.9562581753205608,4
2.327622239451128,2
2.515024604123012,4
1.561522459182838,4
1.4666423826050643,4
2.2196049301663243,4
2.5648019115475633,4
2.573561847618171,2
1.695621103140884,4
2.3171229631078503,2
2.459404936576945,4
1.5712578867617912,4
1.5689340037672617,2
2.1423724915877305,4
2.590673348729299,2
1.9509805265967242,5
1.820258617715077,2
1.751601723325145,2
2.1385655078383383,0
1.801595338009176,4
1.8634201350891444,2
1.438862385207087,4
2.034750525077617,0
2.5204086479150614,4
2.459649392930233,4
2.017943402545608,2
2.1121262467129402,4
1.710379224268654,4
1.9040731651726757,4
1.4554361659059634,2
2.5963564393702283,4
1.8024921235559357,4
1.6002433627731363,4
1.8144203656398195,2
2.3148625038215345,4
2.5108904623505817,4
1.306959937446299,1
1.6041455763600059,5
2.1356172400239304,4
2.005014279126489,0
1.5374166837031376,4
1.9847516219278272,2
